asset_id,department_id,section_id,location_id,asset_type_code,asset_type_name,installation_date,status,criticality_score
A00001,ENG,S01,S01-LOC2,TURNOUT,Turnout,2019-01-01,ACTIVE,57
A00002,ENG,S01,S01-LOC3,CULVERT,Culvert,2013-01-01,ACTIVE,74
A00003,ENG,S01,S01-LOC4,TURNOUT,Turnout,2020-01-01,ACTIVE,91
A00004,ENG,S01,S01-LOC5,CULVERT,Culvert,2014-01-01,ACTIVE,52
A00005,ENG,S01,S01-LOC1,TURNOUT,Turnout,2021-01-01,ACTIVE,69
A00006,SNT,S01,S01-LOC2,TRACK_CIRCUIT,Track Circuit,2015-01-01,ACTIVE,86
A00007,SNT,S01,S01-LOC3,SIGNAL,Signal,2022-01-01,ACTIVE,47
A00008,SNT,S01,S01-LOC4,TRACK_CIRCUIT,Track Circuit,2016-01-01,ACTIVE,64
A00009,SNT,S01,S01-LOC5,SIGNAL,Signal,2023-01-01,ACTIVE,81
A00010,SNT,S01,S01-LOC1,TRACK_CIRCUIT,Track Circuit,2017-01-01,ACTIVE,42
A00011,TRD,S01,S01-LOC2,ATD,Auto Tensioning Device,2024-01-01,ACTIVE,59
A00012,TRD,S01,S01-LOC3,PORTAL,Portal,2018-01-01,ACTIVE,76
A00013,TRD,S01,S01-LOC4,ATD,Auto Tensioning Device,2012-01-01,ACTIVE,93
A00014,TRD,S01,S01-LOC5,PORTAL,Portal,2019-01-01,ACTIVE,54
A00015,TRD,S01,S01-LOC1,ATD,Auto Tensioning Device,2013-01-01,ACTIVE,71
A00016,ENG,S02,S02-LOC2,TRACK,Track,2020-01-01,ACTIVE,88
A00017,ENG,S02,S02-LOC3,BRIDGE,Bridge,2014-01-01,ACTIVE,49
A00018,ENG,S02,S02-LOC4,TRACK,Track,2021-01-01,ACTIVE,66
A00019,ENG,S02,S02-LOC5,BRIDGE,Bridge,2015-01-01,ACTIVE,83
A00020,ENG,S02,S02-LOC1,TRACK,Track,2022-01-01,ACTIVE,44
A00021,SNT,S02,S02-LOC2,POINT_MACHINE,Point Machine,2016-01-01,ACTIVE,61
A00022,SNT,S02,S02-LOC3,RELAY,Relay/Interlocking,2023-01-01,ACTIVE,78
A00023,SNT,S02,S02-LOC4,POINT_MACHINE,Point Machine,2017-01-01,ACTIVE,95
